PROJECT REFERENCE NUMBER|DESCRIPTION|CSC NO|DATE ISSUED|FLOOR AREA|COST|RESIDENTIAL UNITS
E2343-00013-2011-BP01|COVERED LINKWAY FROM EXISTING SCHOOL SIDE GATE OF PEI HWA SECONDARY SCHOOL TO EXISTING BUS SHELTER ON LOTS 04534N,03762M MK20 AT SENGKANG WEST AVENUE (SENGKANG PLANNING AREA)|201444415|20/11/2014|463|272000|0
A2127-00005-2013-BP01|NEW ERECTION OF A 2-STOREY INTERMEDIATE  TERRACE DWELLING HOUSE WITH ATTIC AND ROOFTOP SWIMMING POOL ON LOT 1524X MK22 AT 70 JALAN MASTULI|201444416|20/11/2014|360|630000|1
E2598-00001-2010-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ADDITION OF AN ATTIC ON LOT 01152K MK 15 AT 57 SOO CHOW GARDEN ROAD|201444417|20/11/2014|85|519000|1
A1914-00006-2009-BP01|ADDITION AND ALTERATION TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCK 149 WITH NEW LIFTS / LIFT LOBBIES AT YISHUN ST 11 (LUP) ON LOT(S) 0983C, 0984M, 0985W, 0986V, 0996L, 0997C, 0998M, 0999W, 1002M, 1003W, 1004V, 1005P, 1007A, 1008K, 1009N, 1010A, 1012N, 1013X, 1027X, 1028L, 1029C, 1030X, 1031L, 1032C & 2082C MK19 AT 149 YISHUN STREET 11 SINGAPORE 760149|201444421|20/11/2014|639|1495772|0
E2290-60297-2010-BP01|ADDITIONS AND ALTERATIONS TO EXISTING SINGLE-USER GENERAL INDUSTRIAL DEVELOPMENT ON LOT 2501L MK13 AT 7 WOODLANDS LINK|201444413|20/11/2014|473|1000000|0
A1262-00067-2012-BP01|ADDITION AND ALTERATION TO THE EXISTING MULTI-STOREY CARPARK INVOLVING ADDITION OF LIFT AND ROOF SHELTER ON LOT 01773A PT MK31 AT BLOCK 108A PASIR RIS STREET 12|201444423|20/11/2014|1380|469511|0
E3361-00710-2008-ST01|PROPOSED STRENGTHENING WORK TO EXISTING RAMP BEAM OF MARINA SQUARE COMPLEX ON LOT 357 TS 11 AT 6 RAFFLES BOULEVARD|201444425|20/11/2014|0|0|0
E3890-00601-2013-BP01|ERECTION OF SINGLE STOREY ANCILLARY OFFICE BLOCK TO THE EXISTING SENOKO POWER STATION ON LOT(S) 03732W MK13 AT 31 SENOKO ROAD|201444426|20/11/2014|53|35000|0
A1038-00005-2011-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT, AN ATTIC AND A SWIMMING POOL ON LOT 97144V MK 17 AT 6 MELROSE DRIVE|201444433|20/11/2014|1612|1400000|1
E2645-00169-2013-BP01|ADDITION & ALTERATION TO SUB-STATION 13A WITHIN EXISTING OIL REFINERY COMPLEX ON LOTS 9C, 10X, 20T, 21A, 22K, 67K, 126N, 127X, 128L, 129C, 130X, 264X, 267M, 99998A & 99999K MK 34 AT PULAU BUKOM BESAR|201444436|20/11/2014|27|195000|0
A2058-00008-2010-BP01|ERECTION OF 2 PAIRS OF 3-STOREY SEMI-DETACHED HOUSES AND A PAIR OF 3-STOREY BACK-TO-BACK SEMI-DETACHED HOUSES EACH WITH SWIMMING POOL AND ROOF TERRACE AND 3 UNITS WITH BASEMENT ON LOT 04086P MK05 AT 124 LORONG KISMIS/ENG KONG ROAD SINGAPORE 598050 (BUKIT TIMAH PLANNING AREA)|201444427|20/11/2014|2299|5379000|6
A0676-00006-2010-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING SINGAPORE RACECOURSE INVOLVING 4 EXISTING SINGLE STOREY BLOCKS, 1 EXISTING 2-STOREY BLOCK, A GUARD HOUSE, CHANGE OF USE OF 2 EXISTING 2-STOREY BLOCKS FROM DORMITORIES TO OFFICES AND ERECTION OF NEW HORSE STALLS & A NEW SINGLE STOREY BLOCK ON LOT 05695W MK13 AT 1 TURF CLUB AVENUE|201444429|20/11/2014|196068|7943421|0
A0930-00005-2008-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLOCKS 110 TO 115 WITH NEW LIFT AT BUKIT PURMEI CONTRACT 4(PT) & 5 ON LOT(S) 1646P, 1647T, 1762C, 1764W, 1872P, 1873T, 1874A, 1875K, 1877X, 1878L, 1879C, 1898W, 1899V, 1900T, 1901A, 2030K, 2820X, 2839V, 3306V, 3307P, 3506N, 3510X, 3541X, 3542L & 99232 MK01 AT BUKIT PURMEI AVENUE, BUKIT PURMEI ROAD|201444430|20/11/2014|4066|17063448|0
E0657-60164-2013-BP01|NEW COVERED LINKWAYS, COVERED STAIRCASES AND PLATFORMS AT CHANGI SMRT DEPOT FOR SMRT CORPORATION LTD ON LOT 06865W MK27 AT KOH SEK LIM ROAD|201444437|20/11/2014|490|694000|0
A1293-00408-2013-BP01|ADDITIONS & ALTERATIONS TO AN EXISTING 2-STOREY CONSERVED BUILDING AND USE ON 1ST AND 2ND STOREY AS WELFARE CLINIC TS05 ON LOT 99469L AT 7 KRETA AYER ROAD|201444438|20/11/2014|263|500000|0
E4399-00048-2013-BP01|RECONSTRUCTION OF 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 06001M MK26 AT 21 KERIS DRIVE|201444439|20/11/2014|397|5500000|1
A1255-01278-2014-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING HALL OFFICE (FROM GRIDLINE 14 TO 17, E TO G) AT 3RD STOREY HALL OF RESIDENCE 4 AT NANYANG TECHNOLOGICAL UNIVERSITY MK08 ON LOTS 00173W, 00174V, 00175P, 00176T, 00177A, 00178K, 00179N, 00180A, 00181K, 00182N, 00183X, 00184L, 00185C, 00186M MK09 ON LOTS 00029L, 00384T, 00385A, 00392L, 01285K, 01286N, 01287X, 01288L & 01289C AT NANYANG AVENUE|201444440|20/11/2014|0|203000|0
A1441-00003-2012-BP01|AMENDMENT TO THE APPROVED ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY CHURCH WITH ATTIC, BASEMENT COLUMBARIUM & CARPARK ON LOT 01122W MK 02 AT 120 KING'S ROAD SINGAPORE 268172 (BUKIT TIMAH PLANNING AREA)|201444442|20/11/2014|0|0|0
A1422-00401-2013-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND A FULLY SUBMERGED BASEMENT ON LOT NO: 98990X MUKIM 18 AT NO: 57, FARLEIGH AVENUE SINGAPORE 557831|201444443|20/11/2014|898|1860000|1
A0780-13003-2013-BP01|ADDITIONS AND ALTERATIONS TO AN EXISTING SINGLE-USER INDUSTRIAL BUILDING INVOLVING THE ADDITION OF A SINGLE-STOREY BLOCK AT 2 SUNGEI KADUT STREET 4|201444444|20/11/2014|721|900000|0
A0781-00033-2010-BP01|EXECUTIVE CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 2 BLOCKS OF 18-STOREY & 1 BLOCK OF 16-STOREY APARTMENTS (TOTAL: 315 UNITS) WITH LANDSCAPE DECK, COMMON BASEMENT CARPARKS AND COMMUNAL FACILITIES ON LOT 2826K MK 29 AT PASIR RIS DRIVE 1 / ELIAS ROAD [PASIR RIS PLANNING AREA]|201444447|21/11/2014|0|0|315
E2343-00045-2013-BP01|RECONSTRUCTION OF EXISTING BUS SHELTER (B26) ON LOT 04306A MK20 AT UPPER THOMSON ROAD|201444451|21/11/2014|0|0|0
A2247-00001-2013-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY SHOPHOUSE ON LOT 99137C TS 16 AT 129 JALAN BESAR (LITTLE INDIA CONSERVATION AREA)|201444452|21/11/2014|43|220000|0
E1531-00002-2009-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING CHESTNUT AVENUE STAGE I WATERWORKS ON LOT(S) 01540KPT  MK14, 01202VPT  & 02041MPT  MK16 AT 500 CHESTNUT AVENUE|201444453|21/11/2014|3107|74000000|0
A0571-38802-2014-BP01|ADDITIONS & ALTERATIONS TO THE 7TH STOREY & ROOF OF EXISTING 7-STOREY DATA CENTRE WITH A MULTI- STOREY CARPARK ON LOT 08441A MK 05 AT INTERNATIONAL BUSINESS PARK (JURONG EAST PLANNING AREA)|201444454|21/11/2014|0|0|0
E3003-00023-2011-BP01|WIDENING OF PAN ISLAND EXPRESSWAY FROM CLEMENTI AVENUE 6 TO BUKIT TIMAH EXPRESSWAY ON LOT(S) 01210N  MK16 AT UPPER BUKIT TIMAH ROAD SINGAPORE 588996|201444456|21/11/2014|487|100000|0
A0887-00820-2009-BP01|19-STOREY AND 2 BASEMENT NUH MEDICAL CENTRE AT NATIONAL UNIVERSITY HOSPITAL ON LOTS 04344K, 04898X & 04901W MK03 AT 1 LOWER KENT RIDGE ROAD|201444457|21/11/2014|0|0|0
A1276-00560-2010-BP01|ERECTION OF A 8-STOREY RESIDENTIAL FLAT DEVELOPMENT (TOTAL: 39 UNITS) WITH SWIMMING POOL, GYM AND MECHANIZED CARPARK ON LOT 03435N  MK25 AT 41 LORONG 22 GEYLANG|201444458|21/11/2014|2929|6576646|39
A1268-00554-2013-BP01|ADDITIONS & ALTERATIONS TO PART OF THE EXISTING VOID DECK ON  1ST STOREY TO FAMILY SERVICE CENTRE ON LOT 16944P MK 18 AT BLOCK 643 ANG MO KIO AVENUE 5|201444459|21/11/2014|254|335183|0
E2834-00044-2013-BP01|ADDITION OF A TEMPORARY PREFABRICATED NESTING OFFICE AT LEVEL 4 ROOFTOP, CHANGI GENERAL HOSPITAL ON LOT 0689M, MK 28, AT NO.2 SIMEI STREET 3|201444460|21/11/2014|1389|2000000|0
A2055-00004-2012-BP01|NEW ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND ROOF GARDEN ON LOT 98023M MK 18 AT 54 CROWHURST DRIVE|201444462|21/11/2014|535|1853700|1
A0928-00001-2014-BP01|CONVERSION OF PARTS OF THE EXISTING VOID DECKS TO A SENIOR CITIZENS' CENTRE ON LOT 01401W MK 29 AT BLOCK 605 ELIAS ROAD #01-200|201444463|21/11/2014|298|365392|0
E3306-00003-2008-ST01|PROPOSED STRENGTHENING WORKS FOR BUILDING FACADE SUPPORT OF A 15 STOREY BUILDING, CECIL HOUSE ON LOT(S) 89  TS11 AT 139 CECIL STREET CECIL HOUSE SINGAPORE 069539|201444464|21/11/2014|0|0|0
A2100-00005-2011-BP01|ADDITIONS & ALTERATIONS INVOLVING EXTENSION OF A 2-STOREY BUILDING TO EXISTING 2-STOREY CLEMENTI FIRE STATION  ON LOT 05522K MK05 AT COMMONWEALTH AVENUE WEST (CLEMENTI PLANNING AREA)|201444465|21/11/2014|523|1466240|0
E3578-00019-2008-ST01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING ROOF OF THE EXISTING FACTORY ON LOT(S) 2825  MK31 AT 36 CHANGI NORTH CRESCENT SINGAPORE 499620|201444467|21/11/2014|0|0|0
A0889-00102-2012-BP01|NEW ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC & A SWIMMING POOL ON LOT 00711K MK 16 AT 48 JALAN JAMBU AYER|201444471|21/11/2014|714|1500000|1
E2416-00020-2011-ST01|CONTRACT RP 137 - EMAS ON MAJOR ARTERIAL ROADS - TYPE 1 AVMS AT ORCHARD CORRIDOR AT TEMP ROAD NAME|201444448|21/11/2014|0|0|0
A1262-00053-2011-BP01|ADDITION AND ALTERATION TO THE EXISTING MULTI STOREY CAR PARK ON LOT 01104A PT MK 21 AT BLK 248A COMPASSVALE ROAD|201444475|24/11/2014|1907|610619|0
E1624-00306-2009-ST02|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 2- STOREY FACTORY ON LOT(S) 00360A  MK06 AT 352 JALAN BOON LAY SINGAPORE 619531|201444480|24/11/2014|0|0|0
E3343-00254-2012-ST01|SIGNALING SYSTEM & PLATFORM SCREEN DOORS FOR DOWN TOWN LINE(7.5M HIGH TOWER) MK-11 & 14 ON LOT 00073P, 00323P, 0080N & 99814X ATWOODLANDS ROAD|201444484|24/11/2014|0|0|0
E3246-01415-2014-ST01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING ST-84 PACKAGING STRUCTURE & OPS-84A (LNYC01) STRUCTURE (SPP-2 SILO PURGING FACILITY PROJECT) IN EXXONMOBIL SINGAPORE CHEMICAL PLANT ON LOTS -- & STATE FORESHORE MK 34 AT PULAU AYER CHAWAN, JURONG ISLAND|201444486|24/11/2014|0|0|1
A1450-01136-2011-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC AND A  BASEMENT AND  A SWIMMING POOL ON LOT 07733C MK 18 AT 45 BEGONIA DRIVE (SERANGOON) (BREAKAWAY FROM ADJOINING SEMI-DETACHED HOUSE 43 BEGONIA DRIVE)|201444488|24/11/2014|743|1700000|1
E4111-00032-2014-ST01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING SUCRALOSE FACILITY COMPRISING OF ADDITIONS OF EXISTING V-1502B EQUIPMENT SUPPORT ON LOT 1653X MK34 SAKRA PLACE ON JURONG ISLAND SINGAPORE|201444492|24/11/2014|0|0|0
E2377-00444-2014-ST01|PROPOSED INSTALLATION OF MILD STEEL BARRIER TO ALUMINIUM CASEMENT WINDOWS AT DINING AND FAMILY AREA TO BLOCK 215 LORONG 8 TOA PAYOH #02-727 SINGAPORE 310215 ON LOT(S) 04236M  MK17 AT 215 LORONG 8 TOA PAYOH #02-727 SINGAPORE 310215|201444493|24/11/2014|0|0|0
E2343-00025-2012-BP01|COVER TO EXISTING PEDESTRIAN OVERHEAD BRIDGE LINK TO EXISTING HDB BRIDGE NEAR BLK 310C AND COVER LINKWAY TO EXISTING BUS SHELTERS ON LOTS 16874A,16872P,11747M,15469K AND 16781W AT ANG MO KIO AVENUE 1|201444496|24/11/2014|377|209000|0
E3003-00022-2011-ST01|ER 343 - PROPOSED WIDENING OF PIE FROM BKE INTERCHANGE TO ADAM ROAD ON LOT(S) 01370W , 02313T , 02314A , 02315K , 02316N , 02749X  & 02751N  MK15, 01195A , 01210N , 01384V , 01639N , 02021X  & 02300K  MK16 AT UPPER BUKIT TIMAH ROAD SINGAPORE 588996|201444498|25/11/2014|0|0|0
A0814-00011-2009-BP01|FLAT DEVELOPMENT COMPRISING 4 BLOCKS OF 18-STOREY AND 1 BLOCK OF 17-STOREY RESIDENTIAL BUILDING (TOTAL 468 UNITS) WITH A 2-STOREY PODIUM CARPARK, BASEMENT CARPARK, TENNIS COURTS, SWIMMING POOL,CLUBHOUSE AND COMMUNAL FACILITIES ON LOT 17034C MK18 AT SERANGOON AVENUE 3|201444494|25/11/2014|0|0|0
A0847-00005-2010-BP01|NEIGHBOURHOOD RENEWAL PROGRAMME AT ANG MO KIO AVENUE 5 BLOCK 520 TO 524 ON LOT 13725V, MK 18 ANG MO KIO NEW TOWN NEIGHBOURHOOD 5|201444501|25/11/2014|0|1645000|0
A0454-00452-2013-BP01|RECONSTRUCTION TO A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON LOT 03540X MK27 AT 33 SENNETT TERRACE|201444504|25/11/2014|488|590000|1
A1570-00001-2011-BP01|ERECTION OF ONE PRIMARY SCHOOL COMPRISING 1 BLOCK OF 6-STOREY BUILDING, 1 BLOCK OF 5-STOREY BUILDING, 2 BLOCKS OF 4-STOREY BUILDING AND OTHER ANCILLARY WORKS ON LOT 01710W MK 14 AT 60 BUKIT PANJANG RING ROAD|201444508|25/11/2014|0|0|0
A1679-00180-2012-BP01|ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 04786W MK 27 AT 46 SENNETT LANE|201444512|26/11/2014|758|1500000|1
E3810-00004-2012-BP01|ADDITION OF 2 BLOCKS OF A 4-STOREY  FACTORY BUILDING  TO EXISTING SHIPYARD DEVELOPMENT ON LOTS 658L, 659C, 825W, 4283N,4267X, 4268L, 4269C, 4270X, 4271L, 3996L, 3997C, 3998M & 4006T MK07 [PLOT A20935 (A-I) & A05203000] AT 51 PIONEER SECTOR 1|201444513|26/11/2014|7717|8000000|0
A0854-00272-2014-BP01|ADDITIONS & ALTERATIONS TO EXISTING 2-STOREY CONSERVED BUILDING AND ADDITIONS & ALTERATIONS TO EXISTING 3-STOREY BUILDING (FORMER GEYLANG FIRE STATION) ON LOT 10491K MK 24 AT 29 PAYA LEBAR ROAD|201444514|26/11/2014|33|586333|0
A1520-00040-2012-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC, A BASEMENT AND A SWIMMING POOL ON LOT 5579P MK04 AT NO.30 FIFTH AVENUE|201444515|26/11/2014|2074|8500000|1
A0414-00103-2011-BP01|NEW ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND OPEN ROOF TERRACE ON LOT 00855T MK 18 AT 15 JALAN RUKAM|201444516|26/11/2014|543|908082|1
E2620-00222-2014-BP01|ADDITION OF TOILET FOR ATO ROOM ADJACENT TO COMMUTER ENTRANCE I WITHIN THE EXISTING SINGAPORE PETROCHEMICAL COMPLEX ON LOT(S) 1862X, 1863L, 2416L, 2465C, 2591V, 2977T, 2978A, 3030A, 3185L, 3186C, 3187M, 3204T, 367X, 368L, 402V, 403P, 404T, 405A, 406K, 407N, 408X, 409L, 668M, 669W & 799X MK34 AT 100 AYER MERBAU ROAD SINGAPORE 628277|201444517|26/11/2014|25|80000|0
E2118-01545-2013-BP01|SHELTER TO OUTDOOR REFRESHMENT AREA (ORA) OF EXISTING EATING HOUSE ON LOT 07238N MK 24 AT BLOCK 119 ALJUNIED AVENUE 2 (UNIT #01-06) SINGAPORE 380119|201444518|26/11/2014|71|120000|0
E4121-00001-2012-BP01|CANOPY TO EXISTING FACTORY ON PLOT A380 (GOVT SURVEY LOT NO. 488 VIDE R.T. 232) MK 06 AT JALAN PESAWAT, JURONG FOR M/S TAT PETROLEUM PTE LTD ON LOT(S) 488  MK06 AT 9 JALAN PESAWAT SINGAPORE 619367|201444522|26/11/2014|0|0|0
A0623-01311-2013-BP01|ERECTION OF A 3-STOREY DETACHED DWELLING HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 99783M MK 28 AT 18 JALAN SELAMAT (BEDOK PLANNING AREA)|201444523|26/11/2014|645|950000|1
E3060-00050-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING FACTORY ON LOT 06043A MK 23 AT 49 KAKI BUKIT ROAD 2|201444525|26/11/2014|335|50000|0
A1756-00015-2007-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 112 TO 118 WITH NEW LIFTS / LIFT LOBBIES, DROP-OFF PORCHES, COVERED LINKWAY & GENERAL LANDSCAPING WORKS ON LOTS 14286P, 14287T, 7078L, 7079C, 7080X, 7081L & 7082C MK18 AT ANG MO KIO AVENUE 4|201444529|27/11/2014|5271|41048506|0
A1450-01102-2011-BP01|ADDITION & ALTERATION TO THE 1ST, 2ND, 3RD STOREYS AND CHANGE OF USE FROM HEALTH CENTRE TO SHOP FOR THE 1ST, 2ND, 3RD STOREYS TO THE EXISTING ORCHARD BUILDING ON LOTS 01128N & 01130K TS21 AT 1 GRANGE ROAD|201444531|27/11/2014|292|6000000|0
E2278-01254-2012-BP01|ADDITION AND ALTERATION COMPRISING ERECTION OF PIPERACKS AND PIPE STANCHIONS (TO BE OWNED BY PCS) FOR THE SHELL LEO/SILVER PROJECT WITHIN THE EXISTING SINGAPORE PETROCHEMICAL COMPLEX ON LOT(S) 1862X, 1863L, 2416L, 2465C, 2591V, 2977T, 2978A, 3030A, 3185L, 3186C, 3187M, 3204T, 367X, 368L, 402V, 403P, 404T, 405A, 406K, 407N, 408X, 409L, 668M, 669W & 799X MK 34 AT 100 AYER MERBAU ROAD|201444533|27/11/2014|0|288200|0
A0841-10065-2012-BP01|ADDITIONS & ALTERATIONS INVOLVING NEW 4TH STOREY EXTENSION FOR RELIGIOUS CLASSROOM USE TO EXISTING 3-STOREY TEMPLE BUILDING WITH A BASEMENT CAR PARK ON LOT 06468K MK 28 AT 21 BEDOK NORTH AVENUE 4(TAMPINES PLANNING AREA)|201444534|27/11/2014|4612|792728|0
A1245-00008-2012-BP01|ERECTION OF A 3-STOREY CORNER TERRACE DWELLING HOUSE ON LOT 06406T MK26 AT 67 STILL ROAD SINGAPORE 423979|201444537|27/11/2014|340|915796|1
E3791-00003-2014-BP01|ADDITIONS AND ALTERATIONS TO EXISTING SERAYA PETROCHEMICALS COMPLEX (ADDITIONAL STEEL PLATFORM AND PIPE SUPPORTS) AT 61 SERAYA AVENUE JURONG ISLAND ON LOT(S) 00979C, 00980X, 00981L, 00984W, 01238M, 01239W, 01240C, 01241M, 01242W, 01267L, 01276T & 01278K  MK34 AT 61 SERAYA AVENUE SINGAPORE 627879|201444539|27/11/2014|10|20000|0
A0866-00001-2013-BP01|ADDITION & ALTERATION TO EXISTING BLOCKS 1, 2, 3, 5 & ERECTION OF COVERED LINKWAYS FOR MOE HQ OFFICES (TEMPORARY USE TO LAPSE 31 DEC 2014) ON LOT 02005A TS24 AT 51 GRANGE ROAD|201444541|27/11/2014|123|350000|0
E2650-00001-2014-ST01|PROPOSED 1 NO. OF 100/20 TON GANTRY CRANE ON LOT 01100W MK 07 AT 11 TUAS CRESCENT, SINGAPORE 638705|201444543|27/11/2014|0|0|0
A1688-01004-2010-BP01|CONSERVATION AND ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ADDITIONAL MEZZANINE FLOOR WITH NEW 4-STOREY REAR EXTENSION ON LOT 04543N , 04548W  & 04552V  MK 25 AT 13 LORONG 24A GEYLANG|201444545|27/11/2014|351|580000|0
E3198-00011-2012-BP01|ADDITIONS AND ALTERATIONS TO AN EXISTING SINGLE STOREY WAREHOUSE (COLD STORAGE) WITH PART3-STOREY FOR ANCILLARY FACILITIES ON LOT 01522A MK14 AT 2 MANDAI LINK.|201444547|27/11/2014|0|0|0
E1944-01447-2009-BP01|ADDITIONS AND ALTERATIONS AND CHANGE OF USE OF 3RD STOREY FROM WAREHOUSE TO INDUSTRIAL USE TO AN EXISTING 4 STOREY BUILDING ON LOT 04753P MK 13 AT 2 WOODLANDS LOOP|201444549|27/11/2014|4499|4000000|0
A0947-00106-2012-BP01|ERECTION OF A 3-STOREY INTERMEDIATE DWELLING HOUSE WITH AN ATTIC AND ROOF TERRACE ON LOT 00133C MK19 AT 34 JALAN KEMUNING|201444550|27/11/2014|383|9500000|1
E2997-00052-2011-BP01|ADDITIONS AND ALTERATIONS TO EXISTING PART SINGLE / PART 3-STOREY (SINGLE USER, SINGLE OCCUPIER) FACTORY WITH ANCILLARY OFFICE ON LOT 03173A MK07 AT NO. 7 TUAS AVENUE 16|201444551|27/11/2014|870|7000000|0
E4424-00002-2013-BP01|MINOR ADDITION AND ALTERATION OF AN EXISTING SINGLE STOREY FACTORY ON LOT 02926K MK 7 AT 52 TUAS ROAD|201444552|27/11/2014|10956|500000|0
E2643-01340-2013-BP01|ADDITION & ALTERATION WORKS TO EXISTING SINGLE-USER FACTORY WITH TEMPORARY ANCILLARY WORKERS' DORMITORY (FOR 48 WORKERS) ON LOT 01142X MK06 AT 21 THIRD CHIN BEE ROAD|201444553|27/11/2014|296|230000|0
A0819-01190-2011-BP01|UPGRADING WORKS TO COMMON AREAS TO EXISTING OCBC TAMPINES CENTRE TWO (OTC 2) ON LOT(S) 01626P  MK29 AT TAMPINES AVENUE 4|201444556|28/11/2014|586|300000|0
A1413-00042-2009-BP01|COVER OVER TO EXT'G PEDESTRIAN OVERHEAD BRIDGE & COVEREDLINKWAYS TO EXT'G BUS SHELTERS ON LOT 06456C MK 05 AT WEST COASTHIGHWAY NEAR BLOCK 711|201444562|28/11/2014|298|179000|0
A0224-00534-2012-BP01|ERECTION OF A 3-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 06836W MK 18 AT 120 YIO CHU KANG GARDENS|201444560|28/11/2014|565|800000|1
E2194-00506-2013-BP01|ADDITIONS AND ALTERATIONS WITH PROVISION OF AN ATTIC TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH A BASEMENT ON LOT 01014X MK 18 AT 14 JALAN CHEMPEDAK|201444563|28/11/2014|120|350000|0
E2118-01588-2013-BP01|ADDITIONS AND ALTERATIONS TO EXISTING SHELTER AT OUTDOOR REFRESHMENT AREA (ORA) OF EXISTING EATING HOUSE ON LOT 01836P MK 28 AT BLOCK 418 BEDOK NORTH AVENUE 2 (UNIT #01-97)|201444565|28/11/2014|140|24000|0
A1048-00022-2011-BP01|RECONSTRUCTION TO EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT(S) 01962L MK 20 AT 22 LENTOR GROVE|201444568|28/11/2014|311|350000|1
A0706-00008-2013-BP01|RECONSTRUCTION WITH ADDITION OF A 3RD STOREY TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE ON LOT 06055N MK 27 AT 22 LIMAU WALK(BEDOK PLANNING AREA)|201444569|28/11/2014|431|342000|1
E0700-00001-2014-ST01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING SINGLE USER FACTORY DEVELOPMENT INVOLVING INSTALLATION OF ROCK CLIMBING WALL, ON LOT 5772V MK05 AT 21 JURONG TOWN HALL ROAD FOR M/S SNOW VENTURE PTE LTD (JURONG EAST PLANNING AREA)|201444571|28/11/2014|0|0|0
A0903-00001-2012-BP01|ERECTION OF A 2-STOREY BUNGALOW WITH ATTIC ON LOT 02064X MK 25 AT NO. 9C BROADRICK ROAD|201444572|28/11/2014|814|2146600|1
A1533-00028-2012-BP01|NEW ERECTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT(S) 2468T  MK04 AT 27 LILY AVENUE|201444577|28/11/2014|435|825000|1
A0781-00026-2012-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 3-STOREY SINGLE-USER FACTORY INVOLVING EXTENSION AT 3RD STOREY AND ADDITION OF A 4TH STOREY WITH TEMPORARY SECONDARY WORKERS' DORMITORY (FOR 400 WORKERS) ON LOT 1752K MK 11 AT 18 SUNGEI KADUT AVENUE|201444578|28/11/2014|1177|1897171|0
E4339-00808-2014-BP01|ADDITION AND ALTERATION WORKS TO EXISTING UNIT #01-2148 OF THE EXISTING BEDOK INDUSTRIAL PARK ON LOT 06641W MK 28 AT BLK 3014 BEDOK INDUSTRIAL PARK E|201444579|28/11/2014|153|104000|0
E3810-00018-2011-BP01|NEW FLOATING DOCK & SOUTH QUAY EXTENSION TO EXISTING SHIPYARD ON LOT 769P [PLOT A050201106 & A0501107] AND FORESHORE LOTS 2516M & 2517W MK 07 AT 55 GUL ROAD|201444580|28/11/2014|1008|3925538|0
E2645-00163-2013-BP01|ADDITIONS & ALTERATIONS TO SUBSTATION SH46 WITHIN EXISTING OIL REFINERY COMPLEX ON LOTS 9C, 10X, 20T, 21A, 22K, 67K, 126N, 127X, 128L, 129C, 130X, 264X, 267M, 99998A & 99999K MK 34 AT PULAU BUKOM BESAR(WESTERN ISLAND PLANNING AREA)|201444628|03/12/2014|34|95000|0
A1617-00001-2011-BP01|RECONSTRUCTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND AN ATTIC ON LOT(S) 4777X  MK04 AT 39 CORNWALL GARDENS|201444631|03/12/2014|1681|6000000|1
