PROJECT REFERENCE NUMBER|TITLE|LOCALITY|ARCHITECT|ENGINEER|DATE APPROVED
A1600-00308-2014-BP01|PROPOSED CONVERSION AND ADDITIONS AND ALTERATION WORKS TO   EXISTING VOID DECK AT LEVEL 1 TO A SENIOR  DAY CARE CENTRE (REHABILITATION) ON LOT NO. 00585T, TS15 AT BLK 5 BEACH ROAD AND BLK 9 NORTH BRIDGE ROAD (KALLANG PLANNING AREA)|ON LOT(S) 00585T  TS15 AT 9 NORTH BRIDGE ROAD #1-00 SINGAPORE 190009,  5 BEACH ROAD #1-00 SINGAPORE 190005|MRS TEO SIEW CHOO OLIVIA EML ARCHITECTS||09/09/2014
A1595-00172-2013-BP01|PROPOSED RECONSTRUCTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC AND ROOF TERRACE ON LOT(S) 04927C  MK28 AT 8 SEA BREEZE GROVE|ON LOT(S) 04927C  MK28 AT 8 SEA BREEZE GROVE|MR LOW CHENG HAI, EDMUND ALTODESIGN ARCHITECTS|ER TANG ING HUA ASTON CONSULTING ENGINEERS|12/09/2014
A1606-00003-2013-BP01|PROPOSED ADDITION & ALTERATION TO THE EXISTING 2 BLOCKS OF LINKED 4-STOREY RESEARCH & DEVELOPMENT BUILDING WITH BASEMENT CARPARKS ON LOT 02949X MK03 AT 10 SCIENCE PARK ROAD (QUEENSTOWN PLANNING AREA)|ON LOT(S) 02949X  MK03 AT 10 SCIENCE PARK ROAD|MR TAN CHEE KIANG DP ARCHITECTS PTE LTD|ER ANG TIEN SIN KTP CONSULTANTS PTE LTD|09/09/2014
A1608-00013-2007-BP02|PROPOSED COMMERCIAL / HOTEL DEVELOPMENT COMPRISING A 6-STOREY HOTEL BLOCK, CONSERVATION OF THE SINGLE STOREY CLIFFORD PIER AND 2-STOREY FORMER CUSTOMS HARBOUR BRANCH BUILDING ON LOT(S) 00242A , 00251M , 00252W , 00253V , 00254P , 00337M , 00385M  & 00389T  TS30 AT COLLYER QUAY SINGAPORE 000000|ON LOT(S) 00242A , 00251M , 00252W , 00253V , 00254P , 00337M , 00385M  & 00389T  TS30 AT COLLYER QUAY SINGAPORE 000000|MR LEE SHEE KOENG DP ARCHITECTS PTE LTD|ER KONG KAM CHEONG KKC CONSULTANCY SERVICES,ER NG SOON HUA S.H.NG CONSULTANTS,ER CHEE SEE CHONG S C CHEE CONSULTING ENGINEERS,ER KEE KAM OON PK PROJECT CONSULTANTS,ER LEE TUCK CHEONG BECA CARTER HOLLINGS & FERNER(S.E. ASIA) PTE LTD,ER M SIVAKUMARAN SMS CONSULTING ENGINEERS,ER PUA TECK SENG PTS CONSULTANTS,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS,ER LIM KEAN TEONG TNJ CONSULTANTS LLP|09/09/2014
A1613-01407-2014-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING SINGLE-USER GENERAL INDUSTRIAL DEVELOPMENT WITH TEMPORARY ANCILLARY WORKERS' DORMITORY (118 WORKERS) ON LOT(S) 01993L  MK13 AT 1B KRANJI LOOP|ON LOT(S) 01993L  MK13 AT 1B KRANJI LOOP|MR TANG PEAK KANG TANG ARCHITECTS|ER CHEANG JEN BOON INTER-SYSTEM CONSULTANTS|30/09/2014
A1607-00049-2013-BP01|PROPOSED RECONSTURCTION OF A SINGLE STOREY BERLIN HEILIGTUM SHRINE ON LOT 00167W(PT) MK 32 AT PULAU UBIN|ON LOT(S) 00167W  MK32|MR KON SU YE GK ARCHITECTS|ER PUA TECK SENG PTS CONSULTANTS|19/09/2014
A1618-00023-2013-BP01|PROPOSED ERECTION OF A PAIR OF 3-STOREY SEMI-DETACHED DWELLING HOUSES WITH ATTIC AND SWIMMING POOL ON LOT 00444K MK23 AT 39 LORONG MARZUKI (BEDOK PLANNING AREA)|ON LOT(S) 00444K  MK23 AT 39 LORONG MARZUKI SINGAPORE 417105|MR CHEN YEW HUAT, DESMOND AVID ARCHITECTS PTE LTD|ER TAN JIOK SAW JS TAN CONSULTANTS  PTE LTD|09/09/2014
A1621-00001-2014-BP01|PROPOSED ADDITION AND ALTERATION WORKS TO SHOP UNITS #01-14/15/16/17, #02-07, #02-11, #03-06, #04-04, #04-101, #05-04/05/06/07, #05-101 AND #06-101 ON LOT(S) 00851X  TS27 AT 176 ORCHARD ROAD|ON LOT(S) 00851X  TS27 AT 176 ORCHARD ROAD|MS LAU CHUK KWAN, BETSY EAST 9 ARCHITECTS & PLANNERS PTE LTD|ER LEE KIANG HOCK MEGA CONSULT|24/09/2014
A1621-00002-2014-BP01|PROPOSED ADDITION AND ALTERATION WORKS TO EXISTING 3 STOREY INTERMEDIA TERRACEDWELLING HOUSE ON LOT 03656M MK 06 AT 164 YUNNAN CRESCENT (JURONG WEST PLANNING AREA)|ON LOT(S) 03656M  MK06|MS LAU CHUK KWAN, BETSY EAST 9 ARCHITECTS & PLANNERS PTE LTD||22/09/2014
A1621-00006-2013-BP01|PROPOSED NEW ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH ROOF TERRACE & SWIMMING POOL ON LOT 06961N MK 04 AT 16B LEEDON PARK (BUKIT TIMAH PLANNING AREA)|ON LOT(S) 06961N  MK04 AT 16B LEEDON PARK SINGAPORE 267927|MS LAU CHUK KWAN, BETSY EAST 9 ARCHITECTS & PLANNERS PTE LTD|ER KOH BOCK CHENG BC KOH CONSULTING ENGINEERS LLP|30/09/2014
A1626-00002-2013-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING 2 UNITS OF 2 -STOREY INTERMEDIATE TERRACE FACTORY ON LOT 2477W AND 2478V MK.13 AT NO.2 & 4 WOODLANDS TERRACE SINGAPORE 738427 & 738429|ON LOT(S) 2477W  & 2478V  MK13 AT 4 WOODLANDS TERRACE SINGAPORE 738429,  2 WOODLANDS TERRACE SINGAPORE 738427|MR LEE CHIOW HON DWELL PROJECTS ARCHITECTS|ER NG CHENG HAI NEXG GROUP DESIGN,ER KEE KAM OON PK PROJECT CONSULTANTS|02/09/2014
A1629-00326-2012-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING BASEMENT OF PEACEHAVEN NURSING HOME FOR THE AGED AT 9 UPPER CHANGI ROAD NORTH, SINGAPORE ON LOT(S) 4162  MK31 AT 9 UPPER CHANGI ROAD NORTH SINGAPORE 507706|ON LOT(S) 4162  MK31 AT 9 UPPER CHANGI ROAD NORTH SINGAPORE 507706|MR OOI JOO SAN LINE CONCEPT ARCHITECTS||04/09/2014
A1631-00101-2013-BP01|PROPOSED NEW ERECTION OF 3-STOREY SEMI DETACHED DWELLING HOUSE WITH OPEN ROOF TERRACE AND BASEMENT ON LOT 01664L MK20 AT NO 56 TUNG PO AVENUE, SINGAPORE 787187.|ON LOT(S) 01664L  MK20 AT 56 TUNG PO AVENUE SINGAPORE 787187|MR SELVANAYAGAM N SPACE DESIGN ARCHITECTS|ZHOU TONG QUAN TENWIT CONSULTANTS PTE LTD,ER YEO PENG YAM PHILIP SPAN CONSULTANTS|23/09/2014
A1631-00293-2013-BP02|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING PART SINGLE STOREY/PART 2-STOREY SINGLE USER FACTORY ON LOT 01212K MK 06 AT 21 SECONDCHIN BEE ROAD, SINGAPORE 618780|ON LOT(S) 01212K  MK06 AT 21 SECOND CHIN BEE ROAD SINGAPORE 618780|MR SELVANAYAGAM N SPACE DESIGN ARCHITECTS|ER LIAU WAI KUN KEON CONSULT PTE LTD|24/09/2014
A1653-10150-2010-BP02|PROPOSED ERECTION OF 1 UNIT OF 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND SWIMMING POOL ON LOT 01730P & LOT 01731T TS 25 AT NASSIM ROAD|ON LOT(S) 01730P  & 01731T  TS25 AT NASSIM ROAD|MR RENE TAN RT + Q ARCHITECTS PTE LTD|ER PUA TECK SENG PTS CONSULTANTS,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS|09/09/2014
A1644-00260-2012-BP02|PROPOSED EXTENSION CUM ADDITIONS & ALTERATIONS TO EXISTING BUILDINGS FOR THE NEW NORTHLIGHT SCHOOL TS17 ON LOTS 1813C, 2073X, 2074L(PT) & 2076M(PT) AT 114, BALESTIER ROAD|ON LOT(S) 1813C , 2073X , 2074L  & 2076M  TS17 AT 114 BALESTIER ROAD SINGAPORE 329679|MR JEFFREY STUART ALLAN AWP PTE LTD|ER NG DICK YOUNG SHAN YOUNG & TUAH CONSULTANTS LLP,ER TAN JUI TECK CPG CONSULTANTS PTE LTD,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS,ER WANG YEE KHAI E2000 PTE LTD|19/09/2014
A1653-11199-2011-BP03|PROPOSED ERECTION OF 1 UNIT OF 2-STOREY DETACHED DWELLING HOUSE WTH ATTIC, BASEMENT AND SWIMMING POOL ON LOT(S) 01022K  MK04 AT 26 NAMLY CRESCENT|ON LOT(S) 01022K  MK04 AT 26 NAMLY CRESCENT|MR RENE TAN RT+Q ARCHITECTS PTE LTD|ER TAN ENG HOW ACCORD ENGINEERING CONSULTANTS PTE LTD|01/09/2014
A1658-00051-2014-BP01|PROPOSED NEW ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC, AND A SWIMMING POOL ON LOT 00584M MK 18 AT 51 SERAYA CRESCENT, SEMBAWANG HILLS ESTATE, SINGAPORE 575863|ON LOT(S) 00584M  MK18 AT 51 SERAYA CRESCENT SEMBAWANG HILLS ESTATE SINGAPORE 575863|MS ANG WEI MEIN LABARCHITECTS|ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS|16/09/2014
A1659-00019-2013-BP01|PROPOSED FOREIGN WORKERS' DORMITORY NAMELY NORTH COAST LODGE COMPRISING 8 BLOCKS OF 4-STOREY DORMITORY BUILDING - 9000 WORKERS, 1 BLOCK OF 2 STOREY ANCILLARY ADMINISTRATIONS / AMENITIES BUILDING, 1 BLOCK OF SINGLE-STOREY ANCILLARY LAUNDRY BUILDING, SUB-STATION & BIN CENTRE MK13 ON LOTS 04950A PT, 04952N PT, 04609C PT & 05903T PT AT ADMIRALTY ROAD WEST (WOODLANDS PLANNING AREA)|ON LOT(S) 04609C , 04950A , 04952N  & 05903T  MK13 AT ADMIRALTY ROAD WEST|MR CHENG THUAN HANN MARKUS ADDP ARCHITECTS LLP|ER CHAI KIM POH K P CHAI ENGINEERING & MANAGEMENT CONSULTANTS,ER LEE CHI KUAN LONGROVE & ASSOCIATES PTE LTD|09/09/2014
A1674-00033-2011-BP03|PROPOSED ERECTION OF 2 BLOCKS OF  5-STOREY RESIDENTIAL FLATS BUILDING (TOTAL: 70 UNITS) WITH ATTIC, SWIMMING POOL AT 2ND STOREY, SURFACE & MECHANISED PARKING AT 1ST STOREY ON LOTS 5718T, 5719A, 5856A, 5857K,  8746K, 8742V, 8744T PT & 8805N PT MK 17 AT 64,|ON LOT(S) 05718T , 05719A , 05856A , 05857K , 08742V , 08744T , 08746K  & 08805N  MK17 AT 64 MOONSTONE LANE,  65 MOONSTONE LANE|MS NG HWEE HOON ZA ARCHITECTS|ER LIM SONG HUAT ,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS,ER LIU XIANMING ERSS CONSULTANTS,ER KANG SWEE ANN JYC CONSULTANTS|15/09/2014
A1678-08030-2014-BP01|PROPOSED NEW ERECTION OF 3-STOREY  INTERMEDIATE TERRACE HOUSE WITH ATTIC AND SWIMMING POOL ON  LOT 01727M MK 28 AT NO 12 MERAGI ROAD ON LOT(S) 01727M  MK28 AT 12 MERAGI ROAD SINGAPORE 487889|ON LOT(S) 01727M  MK28 AT 12 MERAGI ROAD SINGAPORE 487889|MR LIU YAW LIN, WARREN A D LAB PTE LTD|Mr WANG KHANG NENG EPM CONSULTANTS,ER ANG SWEE AIK JOSEPH & ANG ENGINEERS|30/09/2014
A1679-00184-2013-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY DETACHED DWELLING HOUSE ON LOT(S) 06558X  MK04 AT 32 CORNWALL GARDENS|ON LOT(S) 06558X  MK04 AT 32 CORNWALL GARDENS|MR KHAW SENG CHOON ALVIN AKDA ARCHITECTS|ER KONG KAM CHEONG KKC CONSULTANCY SERVICES|02/09/2014
A1679-00185-2013-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING 3-STOREY CONSERVED ASSOCIATION BUILDING WITH SHOP ON 1ST STOREY AND NEW ERECTION OF 7-STOREY REAR EXTENSION BUILDING FOR ASSOCIATION USE  ON LOT(S) 99413P  TS21 AT 10 MOHAMED SULTAN ROAD SINGAPORE 238960|ON LOT(S) 99413P  TS21 AT 10 MOHAMED SULTAN ROAD SINGAPORE 238960|MR KHAW SENG CHOON ALVIN AKDA ARCHITECTS|ER CHONG KENG WEE PROMPT ENGINEERING CONSULTANTS PTE LTD,ER LIM WAI SING CHINA SINGAPORE SUZHON INDUSTRIAL PARK DEVELOPMENT|23/09/2014
A1676-00002-2013-BP01|PROPOSED NEW ERECTION OF A 2 STOREY DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 99463M MK 15 AT NO.7 CARNATION DRIVE|ON LOT(S) 99463M  MK15 AT 7 CARNATION DRIVE SINGAPORE 579541|MR LIM CHEW MENG VINCENT VISUAL TEXT ARCHITECTS|ER CHEW KHEK HAN MSE ENGINEERING & MANAGEMENT CONSULTANTS,ER YAP KEN KUO ALAN YAP ENGINEERS & ASSOCIATES|04/09/2014
A1676-00002-2014-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENT AND A SWIMMING POOL ON PARCEL B12-01 LOT 01583C MK34 AT 1 TREASURE ISLAND (SENTOSA COVE) ON LOT(S) 01583C  MK34 AT 1 TREASURE ISLAND SINGAPORE 098332|ON LOT(S) 01583C  MK34 AT 1 TREASURE ISLAND SINGAPORE 098332|MR LIM CHEW MENG VINCENT VISUAL TEXT ARCHITECTS|ER CHEW KHEK HAN MSE ENGINEERING & MANAGEMENT CONSULTANTS|25/09/2014
A1694-00173-2009-BP03|PROPOSED ERECTION OF A 3-STOREYINTERMEDIATE TERRACE DWELLING HOUSE WITH SWIMMING POOL AND ROOF TERRACE ON LOT 252L MK 19 AT 12D ANDREWS AVENUE|ON LOT(S) 252  MK19 AT 12D ANDREWS AVENUE SINGAPORE 759930|MR LEOW JONG KEE PLACE ARCHITECTS AND DESIGN PTE LTD|ER YEO PENG YAM PHILIP SPAN CONSULTANTS|11/09/2014
A1694-00176-2010-BP02|PROPOSED ERECTION OF A 8-STOREY RESIDENTIAL FLAT (TOTAL 36 UNITS) WITH 1ST STOREY AND BASEMENT COMMERCIAL SHOPS (TOTAL 9 UNITS) MECHANICAL CAR PARKS AND COMMUNAL FACILITIES ON LOTS 00213N, 00212K AND 00205V TS 9 AT NO.233 RIVER VALLEY ROAD|ON LOT(S) 00205 , 00212  & 00213  TS09 AT 233 RIVER VALLEY ROAD SINGAPORE 238291|MR LEOW JONG KEE PLACE ARCHITECTS AND DESIGN PTE LTD|ER JONATHAN DAVID PORTWOOD PORTWOOD & ASSOCIATES,ER TAI SIEW NEO WINSTEIN ENGINEERING CONSULTANT,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS|23/09/2014
A1694-00172-2009-BP03|PROPOSED ERECTION OF A 3-STOREYINTERMEDIATE TERRACE DWELLING HOUSE WITH SWIMMING POOL ANDROOF TERRACE ON LOT 253C MK 19 AT 12B ANDREWS AVENUE|ON LOT(S) 253  MK19 AT 12B ANDREWS AVENUE SINGAPORE 759930|MR LEOW JONG KEE PLACE ARCHITECTS AND DESIGN PTE LTD|ER YEO PENG YAM PHILIP SPAN CONSULTANTS|08/09/2014
A1693-00004-2013-BP01|PROPOSED ADDITION OF 2 LIFTS TO THE EXISTING 3-STOREY INDUSTRIAL BUILDING ON LOT(S) 04752W  MK05 AT 230 PANDAN LOOP|ON LOT(S) 04752W  MK05 AT 230 PANDAN LOOP|MR SIM LYE HUAT LANDMARK ARCHITECTS ASSOCIATE|ER CHIN CHEE WAI AGGIES ENGINEERING SERVICES|22/09/2014
A1687-00019-2011-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLKS 701 TO 712 WITH NEW LIFTS/ LIFT LOBBIES & BLOCK ENTRANCE PORCHES  (LIFT UPGRADING PROGRAMME) ON LOT(S) 04503L , 04504C , 04505M , 04506W , 04507V , 04599W , 04600P , 04601T , 04602A , 06175V  & 07208K  MK22 AT 706 HOUGANG AVENUE 2 SINGAPORE 530706,  712 HOUGANG AVENUE 2 SINGAPORE 530712,  703 HOUGANG AVENUE 2 SINGAPORE 530703,  705 HOUGANG AVENUE 2 SINGAPORE 530705,  711 HOUGANG AVENUE 2 SINGAPORE 530711,  708 HOUGANG AVENUE 2 SINGAPORE 530708,  704 HOUGANG AVENUE 2 SINGAPORE 530704,  710 HOUGANG AVENUE 2 SINGAPORE 530710,  701 HOUGANG AVENUE 2 SINGAPORE 530701,  702 HOUGANG AVENUE 2 SINGAPORE 530702,  709 HOUGANG AVENUE 2 SINGAPORE 530709,  707 HOUGANG AVENUE 2 SINGAPORE 530707|ON LOT(S) 04503L , 04504C , 04505M , 04506W , 04507V , 04599W , 04600P , 04601T , 04602A , 06175V  & 07208K  MK22 AT 706 HOUGANG AVENUE 2 SINGAPORE 530706,  712 HOUGANG AVENUE 2 SINGAPORE 530712,  703 HOUGANG AVENUE 2 SINGAPORE 530703,  705 HOUGANG AVENUE 2 SINGAPORE 530705,  711 HOUGANG AVENUE 2 SINGAPORE 530711,  708 HOUGANG AVENUE 2 SINGAPORE 530708,  704 HOUGANG AVENUE 2 SINGAPORE 530704,  710 HOUGANG AVENUE 2 SINGAPORE 530710,  701 HOUGANG AVENUE 2 SINGAPORE 530701,  702 HOUGANG AVENUE 2 SINGAPORE 530702,  709 HOUGANG AVENUE 2 SINGAPORE 530709,  707 HOUGANG AVENUE 2 SINGAPORE 530707|MR GAN SENG YEI SURBANA INTERNATIONAL CONSULTANTS PTE LTD|ER BOEY CHOONG FATT CASE CONSULTANTS,ER CHUA KOK SENG SURBANA INTERNATIONAL CONSULTANTS PTE LTD,ER WEE BOON LIANG MILLENNIUMS CONSULTANTS|15/09/2014
A1705-00004-2012-BP02|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING HEEREN BUILDING INVOLVING FACADE ARTICULATION WORKS ON LOTS 01354V, 00950T, 01357A, 01355P TS27 AND NEW EXTENSION INVOLVING FACADE ARTICULATION WORKS ON LOTS 01349M & 01350L TS27 AT 260 ORCHARD ROAD (ORCHARD PL|ON LOT(S) 00950T , 01349M , 01350L , 01354V , 01355P  & 01357A  TS27 AT ORCHARD ROAD SINGAPORE 238855|MR TOH SZE CHONG DP ARCHITECTS PTE LTD|ER SIEW KIM CHOI KC SIEW ENGINEERING CONSULTANTS,Mr WANG KHANG NENG EPM CONSULTANTS,ER TAN JIOK SAW JS TAN CONSULTANTS  PTE LTD,ER YEO PENG YAM PHILIP SPAN CONSULTANTS,ER KHOR ENG LEONG J. PRO CONSULTING ENGINEERS LLP,ER YAP KEN KUO ALAN YAP ENGINEERS & ASSOCIATES|03/09/2014
A1694-00234-2012-BP03|PROPOSED ERECTION OF 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ROOF TERRACE ON LOT 00719P MK 23 AT 82F LORONG MELAYU (BEDOK PLANNING AREA)|ON LOT(S) 00719P  MK23 AT 82F LORONG MELAYU SINGAPORE 417001|MR LEOW JONG KEE PLACE ARCHITECTS AND DESIGN PTE LTD|ER YEO PENG YAM PHILIP SPAN CONSULTANTS|15/09/2014
A1694-00216-2011-BP02|PROPOSED RECONSTRUCTION OF EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 95487K MK 24 AT 84 UPPER ALJUNIED ROAD|ON LOT(S) 95487  MK24 AT 84 UPPER ALJUNIED ROAD|MR LEOW JONG KEE PLACE ARCHITECTS AND DESIGN PTE LTD|ER CHEANG JEN BOON INTER-SYSTEM CONSULTANTS,ER WONG KA HOW KH CONSULTANTS|30/09/2014
A1698-00263-2010-BP02|PROPOSED  ERECTION OF 16 BLOCKS OF 5 STOREY CONDOMINIUM (TOTAL 414 UNITS)) WITH ATTIC, BASEMENT CARPARK, SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 9427L MK  22 AT HOUGANG AVENUE 2 OFF PARK VILLA RISE|ON LOT(S) 9427L  MK22 AT HOUGANG AVENUE 2 OFF PARK VILLA RISE|MR NG HOE THEONG AGA ARCHITECTS PTE LTD|ER LOOI POH YUN P.P. PROJECT CONSULTANTS,ER LIM CHIN PAU C P LIM & PARTNERS,ER TAN CHARNG CHERNG TAN CHARNG CHERNG & ASSOCIATES,ER YEO CHOON CHONG MEINHARDT (SINGAPORE) PTE LTD,ER M SIVAKUMARAN SMS CONSULTING ENGINEERS, LEE YEE SENG CSTECH CONSULTANTS & ENGRG PTE LTD|30/09/2014
A1722-00018-2013-BP02|PROPOSED ALTERATIONS AND ADDITIONS TO EXISTING CONSERVATION BUILDING ON LOT(S) 01013T  TS27 AT 216 ORCHARD ROAD SINGAPORE 238850|ON LOT(S) 01013T  TS27 AT 216 ORCHARD ROAD SINGAPORE 238850|MR DARREN PETER  BENGER ATA ARCHITECTS PTE LTD|ER LEE KHIM CHONG KKT CONSULTANTS PTE LTD,ER TAN KHENG SOON EASE CONSULTANTS|19/09/2014
A1749-00002-2013-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING YUHUA SECONDARY SCHOOL ON PT LOT 01918V, MK 06 AT 35 JURONG WEST STREET 41 ON LOT(S) 01918V  MK06 AT 35 JURONG WEST STREET 41 YUHUA SECONDARY SCHOOL|ON LOT(S) 01918V  MK06 AT 35 JURONG WEST STREET 41 YUHUA SECONDARY SCHOOL|MR GABRIEL ANTHONY VINCENT CPG CONSULTANTS PTE LTD|ER TEO JIN KWEE ATC CONSULTING PTE LTD|30/09/2014
A1753-00196-2012-BP02|PROPOSED ADDITIONS & ALTERATIONS AND CONVERSION OF THE EXISTING 5-STOREY TEMPORARY SITE OFFICE TO PERMANENT OFFICE BUILDING FOR SENTOSA DEVELOPMENT CORPORATION ON LOT  02764M PT & 02766V PT MK34 AT 39 ARTILLERY AVENUE SENTOSA SINGAPORE 099958 (SOUTHERN IS|ON LOT(S) 02764M  & 02766V  MK34 AT 39 ARTILLERY AVENUE - SENTOSA|MR LAU CHEE MENG KYOOB ARCHITECTS PTE LTD|ER NG SOON HUA S.H.NG CONSULTANTS|24/09/2014
A1753-00185-2012-BP02|PROPOSED NEW ERECTION OF A 7-STOREY COMMERCIAL BUILDING WITH A BASEMENT STOREY (34 SHOPS, 10 RESTAURANTS, 1 FOOD COURT & 11 CLINICS) AND MECHANISED CARPARK ON LOT 04811L & 04810X-PT MK26 AT 66 EAST COAST ROAD (MARINE PARADE PLANNING AREA)|ON LOT(S) 04811L  MK26 AT 66 EAST COAST ROAD|MR LAU CHEE MENG KYOOB ARCHITECTS PTE LTD|ER LAUW SU WEE LSW CONSULTING ENGINEERS PTE LTD,ER BUDI LEE MEINHARDT (SINGAPORE)  PTE LTD|12/09/2014
A1753-00187-2012-BP02|PROPOSED NEW ERECTION OF A PAIR OF 2-STOREY SEMI-DETACHED HOUSES WITH BASEMENT AND AN ATTIC AND SWIMMING POOL ON LOT 07234T MK25 AT NO.10 BOSCOMBE ROAD|ON LOT(S) 7234T  MK25 AT 10 BOSCOMBE ROAD SINGAPORE 439750|MR LAU CHEE MENG KYOOB ARCHITECTS PTE LTD|Mr WANG KHANG NENG EPM CONSULTANTS,ER TAY AIK JIUN A.J. INGENIEURS|23/09/2014
A1756-00010-2014-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING MULTI-STOREY CARPARK BLOCK 18A WITH NEW LIFT / LIFT LOBBY AT LORONG 6 TOA PAYOH (LIFT INSTALLATION PROGRAMME TO EXISTING MSCP) ON LOT(S) 9943K , 9944N , 9945X , 9946L  & 9947C  MK17 AT 18A LORONG 6 TOA PAYOH SINGAPORE 311018|ON LOT(S) 9943K , 9944N , 9945X , 9946L  & 9947C  MK17 AT 18A LORONG 6 TOA PAYOH SINGAPORE 311018|MR LIM KENG YONG SURBANA INTERNATIONAL CONSULTANTS PTE LTD|ER CHUA KOK SENG SURBANA INTERNATIONAL CONSULTANTS PTE LTD|30/09/2014
A1756-00007-2013-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLOCKS 24 & 25  WITH ADDITION OF NEW CONSUMER SWITCH ROOMS & NEW ERECTION OF ONE BLOCK OF ESS AT HOUGANG AVENUE 3 (HOME IMPROVEMENT PROGRAMME) ON LOT(S) 3306L  & 9345V  MK22 AT 25 HOUGANG AVENUE 3 SINGAPORE 530025,  24 HOUGANG AVENUE 3 SINGAPORE 530024|ON LOT(S) 3306L  & 9345V  MK22 AT 25 HOUGANG AVENUE 3 SINGAPORE 530025,  24 HOUGANG AVENUE 3 SINGAPORE 530024|MR LIM KENG YONG SURBANA INTERNATIONAL CONSULTANTS PTE LTD|ER ZONG DESHUI TURNWIISH PROJECT MANAGEMENT & ENGINEERING cONSULTANT|23/09/2014
A1756-00007-2014-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 501 TO 504 WITH NEW LIFTS / LIFT LOBBIES AT JURONG WEST STREET 51 / JURONG WEST AVENUE 1 (LIFT UPGRADING PROGRAMME) ON LOT(S) 02197V , 02204C , 02631A  & 02632K  MK06|ON LOT(S) 02197V , 02204C , 02631A  & 02632K  MK06|MR LIM KENG YONG SURBANA INTERNATIONAL CONSULTANTS PTE LTD|ER SAMUEL KUAN PEC CIVIL CONSULTANT PTE LTD,ER CHUA KOK SENG SURBANA INTERNATIONAL CONSULTANTS PTE LTD|11/09/2014
A1753-00215-2013-BP02|PROPOSED ERECTION OF A 5-STOREY SINGLE-USER WAREHOUSE DEVELOPMENT COMPRISING A BLOCK OF 5-STOREY WAREHOUSE BUILDING WITH ANCILLARY OFFICE ON LOT 07841K MK05 AT 4 PANDAN AVENUE (JURONG EAST PLANNING AREA)|ON LOT(S) 07841K  MK05 AT 4 PANDAN AVENUE SINGAPORE 609383|MR LAU CHEE MENG KYOOB ARCHITECTS PTE LTD|ER TAN CHARNG CHERNG TAN CHARNG CHERNG & ASSOCIATES,ER TANG ING HUA ASTON CONSULTING ENGINEERS|22/09/2014
A1753-00209-2013-BP02|PROPOSED NEW ERECTION OF A 6-STOREY SINGLE-USER BUSINESS PARK DEVELOPMENT AND 1 BASEMENT CARPARK ON LOT10699M MK27 AT CHANGI BUSINESS PARK VISTA/CHANGI BUSINESS PARK CRESCENT|ON LOT(S) 10699M  MK27 AT CHANGI BUSINESS PARK CRESCENT SINGAPORE 000000|MR LAU CHEE MENG KYOOB ARCHITECTS PTE LTD|ER YEOH BOON KANG BK CONSULTING ENGINEERS PTE LTD,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS|08/09/2014
A1757-00600-2014-BP01|PROPOSED CONVERSION AND ADDITIONS & ALTERATIONS TO EXISTING PART 3RD STOREY HDB VOID DECK TO YOUTH CENTRE ON LOT 00498K  TS15 AT BLOCK 466 CRAWFORD LANE SINGAPORE 190466|AT 466 CRAWFORD LANE SINGAPORE 190466|MR LIM KIM NGIAP, CHARLES CLKN ARCHITECTS||05/09/2014
